name,sido,sigg,parcels,lat,lng,near_canoe
[상수원보호] 전라남도 고흥군 #7,전라남도,고흥군,1,34.4496365,127.1874661,False
[상수원보호] 전라남도 고흥군 #8,전라남도,고흥군,1,34.5925517,127.2945149,False
[상수원보호] 전라남도 고흥군 #9,전라남도,고흥군,1,34.61145,127.4251058,False
[상수원보호] 전라남도 곡성군,전라남도,곡성군,4,35.1450387,127.2112136,False
[상수원보호] 전라남도 구례군 #1,전라남도,구례군,4,35.3382626,127.4834361,False
[상수원보호] 전라남도 구례군 #2,전라남도,구례군,1,35.3489993,127.4980491,False
[상수원보호] 전라남도 담양군,전라남도,담양군,1,35.3687959,126.9095811,False
[상수원보호] 전라남도 무안군,전라남도,무안군,1,34.9302433,126.5002282,False
[상수원보호] 전라남도 보성군 #1,전라남도,보성군,1,34.9185336,127.1641952,False
[상수원보호] 전라남도 보성군 #2,전라남도,보성군,1,34.7944975,127.0749277,False
[상수원보호] 전라남도 보성군 #3,전라남도,보성군,1,34.7610302,127.176256,False
[상수원보호] 전라남도 보성군 #4,전라남도,보성군,1,34.8766051,127.2318324,False
[상수원보호] 전라남도 보성군 #5,전라남도,보성군,3,34.9184261,127.0960546,False
[상수원보호] 전라남도 순천시 #1,전라남도,순천시,4,35.062202,127.2344156,False
[상수원보호] 전라남도 순천시 #2,전라남도,순천시,2,35.0231501,127.2402967,False
[상수원보호] 전라남도 순천시 #3,전라남도,순천시,4,35.0330373,127.2549086,False
[상수원보호] 전라남도 순천시 #4,전라남도,순천시,20,34.9588345,127.4108559,False
[상수원보호] 전라남도 순천시 #5,전라남도,순천시,7,34.9425162,127.4398912,False
[상수원보호] 전라남도 순천시 #6,전라남도,순천시,1,34.9183392,127.4772151,False
[상수원보호] 전라남도 순천시 #7,전라남도,순천시,3,35.0160087,127.2335562,False
[상수원보호] 전라남도 순천시 #8,전라남도,순천시,1,34.9801328,127.2253197,False
[상수원보호] 전라남도 순천시 #9,전라남도,순천시,6,35.0505932,127.2058644,False
[상수원보호] 전라남도 순천시 #10,전라남도,순천시,4,34.9825055,127.3718482,False
[상수원보호] 전라남도 순천시 #11,전라남도,순천시,1,34.9727299,127.4376714,False
[상수원보호] 전라남도 순천시 #12,전라남도,순천시,1,35.0521456,127.2352645,False
[상수원보호] 전라남도 순천시 #13,전라남도,순천시,1,35.0177336,127.257899,False
[상수원보호] 전라남도 순천시 #14,전라남도,순천시,1,35.0078736,127.2226114,False
[상수원보호] 전라남도 순천시 #15,전라남도,순천시,1,35.0041896,127.3769014,False
[상수원보호] 전라남도 순천시 #16,전라남도,순천시,1,34.9801652,127.2009192,False
[상수원보호] 전라남도 순천시 #17,전라남도,순천시,1,34.9971809,127.2274115,False
[상수원보호] 전라남도 순천시 #18,전라남도,순천시,2,34.9800262,127.2498173,False
[상수원보호] 전라남도 순천시 #19,전라남도,순천시,1,34.9718996,127.1913778,False
[상수원보호] 전라남도 순천시 #20,전라남도,순천시,3,34.9458332,127.40383,False
[상수원보호] 전라남도 순천시 #21,전라남도,순천시,2,35.0363489,127.2289431,False
[상수원보호] 전라남도 순천시 #22,전라남도,순천시,1,34.9741081,127.2615087,False
[상수원보호] 전라남도 순천시 #23,전라남도,순천시,1,34.9045344,127.2339851,False
[상수원보호] 전라남도 신안군 #1,전라남도,신안군,2,34.6869455,125.4254948,False
[상수원보호] 전라남도 신안군 #2,전라남도,신안군,1,34.6990882,125.9830388,False
[상수원보호] 전라남도 신안군 #3,전라남도,신안군,1,35.0095777,126.1347717,False
[상수원보호] 전라남도 신안군 #4,전라남도,신안군,1,34.8771823,126.0619159,False
[상수원보호] 전라남도 여수시 #1,전라남도,여수시,1,34.7796855,127.7134779,False
[상수원보호] 전라남도 여수시 #2,전라남도,여수시,1,34.0179148,127.3040166,False
[상수원보호] 전라남도 여수시 #3,전라남도,여수시,1,34.5383091,127.7433567,False
[상수원보호] 전라남도 영광군 #1,전라남도,영광군,3,35.3366056,126.4164371,False
[상수원보호] 전라남도 영광군 #2,전라남도,영광군,1,35.2451737,126.5737704,False
[상수원보호] 전라남도 영광군 #3,전라남도,영광군,2,35.3280252,126.3934542,False
[상수원보호] 전라남도 영광군 #4,전라남도,영광군,2,35.1821899,126.3987408,False
[상수원보호] 전라남도 영광군 #5,전라남도,영광군,2,35.2147098,126.5806034,False
[상수원보호] 전라남도 영암군 #1,전라남도,영암군,1,34.7265769,126.646747,False
[상수원보호] 전라남도 영암군 #2,전라남도,영암군,1,34.6856692,126.6330832,False
